회사ID,년도,월,연월,월별_연금보험료,월별_직원수,연매출액,전년도(기록연도)_대비_매출액_증감률,연평균_직원수,전년도(기록연도)_대비_직원수_증감률
123882,2016,1,201601,752560,5,289034,,5.666666667,
123882,2016,2,201602,642320,4,289034,,5.666666667,
123882,2016,3,201603,1069820,6,289034,,5.666666667,
123882,2016,4,201604,1069820,6,289034,,5.666666667,
123882,2016,5,201605,1069820,6,289034,,5.666666667,
123882,2016,6,201606,1448720,7,289034,,5.666666667,
123882,2016,7,201607,1372660,6,289034,,5.666666667,
123882,2016,8,201608,1462660,7,289034,,5.666666667,
123882,2016,9,201609,1072060,6,289034,,5.666666667,
123882,2016,10,201610,1072060,6,289034,,5.666666667,
123882,2016,11,201611,757060,5,289034,,5.666666667,
123882,2016,12,201612,644560,4,289034,,5.666666667,
123882,2017,1,201701,644560,4,1044575,2.614021188,7.333333333,0.294117647
123882,2017,2,201702,842560,6,1044575,2.614021188,7.333333333,0.294117647
123882,2017,3,201703,1297500,6,1044575,2.614021188,7.333333333,0.294117647
123882,2017,4,201704,1459500,8,1044575,2.614021188,7.333333333,0.294117647
123882,2017,5,201705,1443040,8,1044575,2.614021188,7.333333333,0.294117647
123882,2017,6,201706,1371040,7,1044575,2.614021188,7.333333333,0.294117647
123882,2017,7,201707,1401900,7,1044575,2.614021188,7.333333333,0.294117647
123882,2017,8,201708,1491900,8,1044575,2.614021188,7.333333333,0.294117647
123882,2017,9,201709,1401900,7,1044575,2.614021188,7.333333333,0.294117647
123882,2017,10,201710,1581900,9,1044575,2.614021188,7.333333333,0.294117647
123882,2017,11,201711,1581900,9,1044575,2.614021188,7.333333333,0.294117647
123882,2017,12,201712,1581900,9,1044575,2.614021188,7.333333333,0.294117647
123882,2018,1,201801,1491900,8,5293947,4.068039155,7.583333333,0.034090909
123882,2018,2,201802,1491900,8,5293947,4.068039155,7.583333333,0.034090909
123882,2018,3,201803,1563900,9,5293947,4.068039155,7.583333333,0.034090909
123882,2018,4,201804,1824900,9,5293947,4.068039155,7.583333333,0.034090909
123882,2018,5,201805,1824900,9,5293947,4.068039155,7.583333333,0.034090909
123882,2018,6,201806,1824900,9,5293947,4.068039155,7.583333333,0.034090909
123882,2018,7,201807,1855160,9,5293947,4.068039155,7.583333333,0.034090909
123882,2018,8,201808,1523160,6,5293947,4.068039155,7.583333333,0.034090909
123882,2018,9,201809,1523160,6,5293947,4.068039155,7.583333333,0.034090909
123882,2018,10,201810,1523160,6,5293947,4.068039155,7.583333333,0.034090909
123882,2018,11,201811,1523160,6,5293947,4.068039155,7.583333333,0.034090909
123882,2018,12,201812,1523160,6,5293947,4.068039155,7.583333333,0.034090909
125984,2015,11,201511,2772140,10,3233119,,10.5,
125984,2015,12,201512,2979140,11,3233119,,10.5,
125984,2016,1,201601,2979140,11,4378421,0.354240596,12.33333333,0.174603175
125984,2016,2,201602,2979140,11,4378421,0.354240596,12.33333333,0.174603175
125984,2016,3,201603,2674680,10,4378421,0.354240596,12.33333333,0.174603175
125984,2016,4,201604,3034680,11,4378421,0.354240596,12.33333333,0.174603175
125984,2016,5,201605,3340680,12,4378421,0.354240596,12.33333333,0.174603175
125984,2016,6,201606,3979680,14,4378421,0.354240596,12.33333333,0.174603175
125984,2016,7,201607,4172080,15,4378421,0.354240596,12.33333333,0.174603175
125984,2016,8,201608,3969220,14,4378421,0.354240596,12.33333333,0.174603175
125984,2016,9,201609,3969220,14,4378421,0.354240596,12.33333333,0.174603175
125984,2016,10,201610,3294220,12,4378421,0.354240596,12.33333333,0.174603175
125984,2016,11,201611,3294220,12,4378421,0.354240596,12.33333333,0.174603175
125984,2016,12,201612,3294220,12,4378421,0.354240596,12.33333333,0.174603175
125984,2018,1,201801,3553800,13,8019667,0.831634509,16,0.297297297
125984,2018,2,201802,3562800,13,8019667,0.831634509,16,0.297297297
125984,2018,3,201803,3886800,14,8019667,0.831634509,16,0.297297297
125984,2018,4,201804,4534800,16,8019667,0.831634509,16,0.297297297
125984,2018,5,201805,4609780,16,8019667,0.831634509,16,0.297297297
125984,2018,6,201806,4609780,16,8019667,0.831634509,16,0.297297297
125984,2018,7,201807,5013320,17,8019667,0.831634509,16,0.297297297
125984,2018,8,201808,5283320,18,8019667,0.831634509,16,0.297297297
125984,2018,9,201809,5283320,18,8019667,0.831634509,16,0.297297297
125984,2018,10,201810,4959320,17,8019667,0.831634509,16,0.297297297
125984,2018,11,201811,4959320,17,8019667,0.831634509,16,0.297297297
125984,2018,12,201812,4959320,17,8019667,0.831634509,16,0.297297297
126664,2015,11,201511,225166820,740,256505233,,742,
126664,2015,12,201512,225269940,744,256505233,,742,
126664,2016,1,201601,226535440,750,304408150,0.186752202,782.3333333,0.054357592
126664,2016,2,201602,227341300,757,304408150,0.186752202,782.3333333,0.054357592
126664,2016,3,201603,227574920,764,304408150,0.186752202,782.3333333,0.054357592
126664,2016,4,201604,228204560,767,304408150,0.186752202,782.3333333,0.054357592
126664,2016,5,201605,231921380,787,304408150,0.186752202,782.3333333,0.054357592
126664,2016,6,201606,230265700,781,304408150,0.186752202,782.3333333,0.054357592
126664,2016,7,201607,243721920,783,304408150,0.186752202,782.3333333,0.054357592
126664,2016,8,201608,246041600,794,304408150,0.186752202,782.3333333,0.054357592
126664,2016,9,201609,247962960,801,304408150,0.186752202,782.3333333,0.054357592
126664,2016,10,201610,245209420,793,304408150,0.186752202,782.3333333,0.054357592
126664,2016,11,201611,247574480,804,304408150,0.186752202,782.3333333,0.054357592
126664,2016,12,201612,248782300,807,304408150,0.186752202,782.3333333,0.054357592
126664,2017,1,201701,250633620,812,323278620,0.061990686,818.1666667,0.045803153
126664,2017,2,201702,256850540,830,323278620,0.061990686,818.1666667,0.045803153
126664,2017,3,201703,258806960,837,323278620,0.061990686,818.1666667,0.045803153
126664,2017,4,201704,260365560,842,323278620,0.061990686,818.1666667,0.045803153
126664,2017,5,201705,242512120,798,323278620,0.061990686,818.1666667,0.045803153
126664,2017,6,201706,242557240,798,323278620,0.061990686,818.1666667,0.045803153
126664,2017,7,201707,262179220,807,323278620,0.061990686,818.1666667,0.045803153
126664,2017,8,201708,263032420,810,323278620,0.061990686,818.1666667,0.045803153
126664,2017,9,201709,265179520,817,323278620,0.061990686,818.1666667,0.045803153
126664,2017,10,201710,267491500,828,323278620,0.061990686,818.1666667,0.045803153
126664,2017,11,201711,263933160,820,323278620,0.061990686,818.1666667,0.045803153
126664,2017,12,201712,263274760,819,323278620,0.061990686,818.1666667,0.045803153
126664,2018,1,201801,260711560,811,353839107,0.094532967,845.3333333,0.033204319
126664,2018,2,201802,262713300,818,353839107,0.094532967,845.3333333,0.033204319
126664,2018,3,201803,265574000,829,353839107,0.094532967,845.3333333,0.033204319
126664,2018,4,201804,268715040,844,353839107,0.094532967,845.3333333,0.033204319
126664,2018,5,201805,264355660,832,353839107,0.094532967,845.3333333,0.033204319
126664,2018,6,201806,266399560,837,353839107,0.094532967,845.3333333,0.033204319
126664,2018,7,201807,285948920,838,353839107,0.094532967,845.3333333,0.033204319
126664,2018,8,201808,288039980,846,353839107,0.094532967,845.3333333,0.033204319
126664,2018,9,201809,290644660,867,353839107,0.094532967,845.3333333,0.033204319
126664,2018,10,201810,292680440,876,353839107,0.094532967,845.3333333,0.033204319
126664,2018,11,201811,290223920,872,353839107,0.094532967,845.3333333,0.033204319
126664,2018,12,201812,290417440,874,353839107,0.094532967,845.3333333,0.033204319
127366,2015,11,201511,78792380,244,55796793,,244.5,
127366,2015,12,201512,79377740,245,55796793,,244.5,
127366,2016,1,201601,79088940,244,74306879,0.331741038,248.8333333,0.017723245
127366,2016,2,201602,80368380,248,74306879,0.331741038,248.8333333,0.017723245
127366,2016,3,201603,81198360,251,74306879,0.331741038,248.8333333,0.017723245
127366,2016,4,201604,79273900,246,74306879,0.331741038,248.8333333,0.017723245
127366,2016,5,201605,80449040,251,74306879,0.331741038,248.8333333,0.017723245
127366,2016,6,201606,80401980,251,74306879,0.331741038,248.8333333,0.017723245
127366,2016,7,201607,81027340,246,74306879,0.331741038,248.8333333,0.017723245
127366,2016,8,201608,82200040,250,74306879,0.331741038,248.8333333,0.017723245
127366,2016,9,201609,82137040,250,74306879,0.331741038,248.8333333,0.017723245
127366,2016,10,201610,81869280,250,74306879,0.331741038,248.8333333,0.017723245
127366,2016,11,201611,81317140,248,74306879,0.331741038,248.8333333,0.017723245
127366,2016,12,201612,81851580,251,74306879,0.331741038,248.8333333,0.017723245
127366,2017,1,201701,82841760,254,175260490,1.358603838,275.9166667,0.108841259
127366,2017,2,201702,84908160,261,175260490,1.358603838,275.9166667,0.108841259
127366,2017,3,201703,83909520,257,175260490,1.358603838,275.9166667,0.108841259
127366,2017,4,201704,86918780,271,175260490,1.358603838,275.9166667,0.108841259
127366,2017,5,201705,88953580,278,175260490,1.358603838,275.9166667,0.108841259
127366,2017,6,201706,90657440,284,175260490,1.358603838,275.9166667,0.108841259
127366,2017,7,201707,94699380,285,175260490,1.358603838,275.9166667,0.108841259
127366,2017,8,201708,94487080,283,175260490,1.358603838,275.9166667,0.108841259
127366,2017,9,201709,94191260,283,175260490,1.358603838,275.9166667,0.108841259
