,회사ID,년도,월,연월,월별_연금보험료,월별_직원수,연매출액,전년도(기록연도)_대비_매출액_증감률,연평균_직원수,전년도(기록연도)_대비_직원수_증감률
0,123882,2016,01,201601,752560,5,289034,,5.666666666666667,
1,123882,2016,02,201602,642320,4,289034,0.0,5.666666666666667,
2,123882,2016,03,201603,1069820,6,289034,0.0,5.666666666666667,
3,123882,2016,04,201604,1069820,6,289034,0.0,5.666666666666667,
4,123882,2016,05,201605,1069820,6,289034,0.0,5.666666666666667,
5,123882,2016,06,201606,1448720,7,289034,0.0,5.666666666666667,
6,123882,2016,07,201607,1372660,6,289034,0.0,5.666666666666667,
7,123882,2016,08,201608,1462660,7,289034,0.0,5.666666666666667,
8,123882,2016,09,201609,1072060,6,289034,0.0,5.666666666666667,
9,123882,2016,10,201610,1072060,6,289034,0.0,5.666666666666667,
10,123882,2016,11,201611,757060,5,289034,0.0,5.666666666666667,
11,123882,2016,12,201612,644560,4,289034,0.0,5.666666666666667,
12,123882,2017,01,201701,644560,4,1044575,2.614021187818734,7.333333333333333,0.2941176470588234
13,123882,2017,02,201702,842560,6,1044575,0.0,7.333333333333333,0.2941176470588234
14,123882,2017,03,201703,1297500,6,1044575,0.0,7.333333333333333,0.2941176470588234
15,123882,2017,04,201704,1459500,8,1044575,0.0,7.333333333333333,0.2941176470588234
16,123882,2017,05,201705,1443040,8,1044575,0.0,7.333333333333333,0.2941176470588234
17,123882,2017,06,201706,1371040,7,1044575,0.0,7.333333333333333,0.2941176470588234
18,123882,2017,07,201707,1401900,7,1044575,0.0,7.333333333333333,0.2941176470588234
19,123882,2017,08,201708,1491900,8,1044575,0.0,7.333333333333333,0.2941176470588234
20,123882,2017,09,201709,1401900,7,1044575,0.0,7.333333333333333,0.2941176470588234
21,123882,2017,10,201710,1581900,9,1044575,0.0,7.333333333333333,0.2941176470588234
22,123882,2017,11,201711,1581900,9,1044575,0.0,7.333333333333333,0.2941176470588234
23,123882,2017,12,201712,1581900,9,1044575,0.0,7.333333333333333,0.2941176470588234
24,123882,2018,01,201801,1491900,8,5293947,4.068039154680133,7.583333333333333,0.03409090909090917
25,123882,2018,02,201802,1491900,8,5293947,0.0,7.583333333333333,0.03409090909090917
26,123882,2018,03,201803,1563900,9,5293947,0.0,7.583333333333333,0.03409090909090917
27,123882,2018,04,201804,1824900,9,5293947,0.0,7.583333333333333,0.03409090909090917
28,123882,2018,05,201805,1824900,9,5293947,0.0,7.583333333333333,0.03409090909090917
29,123882,2018,06,201806,1824900,9,5293947,0.0,7.583333333333333,0.03409090909090917
30,123882,2018,07,201807,1855160,9,5293947,0.0,7.583333333333333,0.03409090909090917
31,123882,2018,08,201808,1523160,6,5293947,0.0,7.583333333333333,0.03409090909090917
32,123882,2018,09,201809,1523160,6,5293947,0.0,7.583333333333333,0.03409090909090917
33,123882,2018,10,201810,1523160,6,5293947,0.0,7.583333333333333,0.03409090909090917
34,123882,2018,11,201811,1523160,6,5293947,0.0,7.583333333333333,0.03409090909090917
35,123882,2018,12,201812,1523160,6,5293947,0.0,7.583333333333333,0.03409090909090917
36,125984,2015,11,201511,2772140,10,3233119,,10.5,
37,125984,2015,12,201512,2979140,11,3233119,0.0,10.5,
38,125984,2016,01,201601,2979140,11,4378421,0.35424059553638454,12.333333333333334,0.17460317460317465
39,125984,2016,02,201602,2979140,11,4378421,0.0,12.333333333333334,0.17460317460317465
40,125984,2016,03,201603,2674680,10,4378421,0.0,12.333333333333334,0.17460317460317465
41,125984,2016,04,201604,3034680,11,4378421,0.0,12.333333333333334,0.17460317460317465
42,125984,2016,05,201605,3340680,12,4378421,0.0,12.333333333333334,0.17460317460317465
43,125984,2016,06,201606,3979680,14,4378421,0.0,12.333333333333334,0.17460317460317465
44,125984,2016,07,201607,4172080,15,4378421,0.0,12.333333333333334,0.17460317460317465
45,125984,2016,08,201608,3969220,14,4378421,0.0,12.333333333333334,0.17460317460317465
46,125984,2016,09,201609,3969220,14,4378421,0.0,12.333333333333334,0.17460317460317465
47,125984,2016,10,201610,3294220,12,4378421,0.0,12.333333333333334,0.17460317460317465
